Tab.1.10.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung, Erwerbstätigkeit und Bruttoinlandsprodukt (regionale Strukturdaten) 1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;2000;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;1991;2000;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Kategorie;Land;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Tsd.;Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%)
Erwerbstätige 3);Schleswig-Holstein;1221,2;1285,4;1308,5;1314,4;1319,1;1331,8;1341,4;1347,2;1356,7;1369,9;1390,1;1408,9;1426,4;1441,5;1437,3;1445,1;1461,6;1471,8;1476,9;1478,7;3,1;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2
Erwerbstätige 3);Thüringen;1227,6;1079,9;1041,1;1035,7;1044,1;1048,4;1049;1043,4;1039,9;1039,6;1041,1;1043,8;1046,3;1044,3;1028,8;1022;1025,9;1023,5;1015,4;1004;3,2;2,7;2,5;2,5;2,5;2,5;2,5;2,5;2,4;2,4;2,4;2,4;2,3;2,3;2,3;2,3;2,2;2,2;2,2;2,2
Erwerbstätige 3);Länder insgesamt;38873;39976;40851;40903;41099;41570;42065;42378;42756;43137;43686;44290;44878;45291;44966;45041;45629;45935;45987;45982;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Kategorie;Land;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Mrd. Euro;Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%);Anteile (%)
Bruttoinlandsprodukt (nominal);Baden-Württemberg;243,4;312;387,4;359,9;389,8;412,7;421,3;432,2;448,8;468,6;483;505,9;525,9;535,6;516,3;554,6;600,8;642,2;652;667,1;15,3;14,7;15;14,4;14,9;15;15;15,1;15;15,2;15,1;15,2;15,3;15,1;15;15,1;15,1;15,2;15,1;14,9
Bruttoinlandsprodukt (nominal);Bayern;264;359,9;442,7;434,9;459,4;491,2;504,1;520,2;542;564,9;587,4;615,6;630;651,8;635;674,5;730,1;782,4;796,2;824,2;16,6;16,9;17,1;17,4;17,6;17,9;18;18,1;18,2;18,3;18,4;18,5;18,3;18,4;18,4;18,3;18,3;18,5;18,4;18,4
Bruttoinlandsprodukt (nominal);Berlin;68,4;86,2;101;101,4;105,3;110,7;112,5;116,2;122,3;129,5;136,5;144,5;152,3;159,9;159,5;170,3;185,8;199,8;208,4;218,3;4,3;4;3,9;4,1;4;4;4;4,1;4,1;4,2;4,3;4,3;4,4;4,5;4,6;4,6;4,7;4,7;4,8;4,9
Bruttoinlandsprodukt (nominal);Brandenburg;19,9;45,2;56;54,8;57,4;59,4;61,1;62,4;65,7;66,8;68,8;72,2;74,1;77,3;76,2;81,2;90,7;98,1;101,4;104,1;1,2;2,1;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,3;2,3;2,3;2,3
Bruttoinlandsprodukt (nominal);Bremen;19;22,5;27,9;25,5;27;27,8;29,1;29,5;30,5;31,1;31,9;32,9;33,5;33,5;32,6;35,8;39;40,1;41,3;43;1,2;1,1;1,1;1;1;1;1;1;1;1;1;1;1;0,9;0,9;1;1;1;1;1
Bruttoinlandsprodukt (nominal);Hamburg;61,1;78,5;97,1;94,2;97,2;98,8;101,5;106;108,2;113;115,2;121,7;125;130,4;124,6;138,7;158,3;154,6;162,8;168,3;3,8;3,7;3,7;3,8;3,7;3,6;3,6;3,7;3,6;3,7;3,6;3,7;3,6;3,7;3,6;3,8;4;3,7;3,8;3,8
